Bigass NES Mapper List 0.1 - This document is intended to serve as some sort
of master list for ROMs.  For example, say you find something set to the
wrong mapper, but you have no idea where it should be - check here and save
yourself time.

What it is - A damn near complete list of all the .NES format ROMs out there,
             with a proverbial buttload of entries (don't feel like counting)
             and mapper info for each.  

What it's not - Entirely complete.  There's a rather large number of Japanese
                ROMs missing from this list (Hi, Keropi!) but I don't feel
                that their absence is that big of a deal, considering that
                those particular ROMs are only in the hands of a -very- few
                people.  Consider this a complete list for "findable" ROMs.
                Also, the mirroring info given isn't always to be trusted.
                These just happen to be what mine are set on, so if one doesn't
                work, flip it.

Suggestions - If you have some suggestions for the list, mail me at the address
              below.  Should I divide these up into US/Japanese/Euro, or leave
              it like it is?  Also, what about FDS games - any use in adding
              those?

If you have any questions or whatnot, you can mail me at lugnut@hotmail.com


-

Title                           Size                Mirroring   Mapper
Dragonball [hacked]		128k PRG / 32k CHR	V	Nina-1 (34)
Dragonball 2			128k PRG / 128k CHR	H	Bandai (16)
Dragonball 3			128k PRG / 256k CHR	H	Bandai (16)
Dragonball Z			256k PRG / 256k CHR	H	Bandai (16)
Dragonball Z 2			256k PRG / 256k CHR	V	Bandai (16)
Dragonball Z 2 [hacked]		256k PRG / 256k CHR	V	FFE F8xxx (17)
Dragonball Z 3			256k PRG / 256k CHR	V	Bandai (16)
Dragonball Z 3 [hacked]		256k PRG / 256k CHR	V	FFE F8xxx (17)
Dragonball Z Gaiden		256k PRG / 256k CHR	H	Bandai (16)
Dragons of Flame		128k PRG / 128k CHR	H	MMC1 (1)
Dream Master			256k PRG / 256k CHR	H	Namcot 106 (19)
Drop Zone			32k PRG / 32k CHR	V	CNROM (3)
Duck                            32k PRG / 8k CHR        H       ---- (0)
Duck Hunt			16k PRG / 8k CHR	V	---- (0)
Ducktales			128k PRG / 0k CHR	V	UNROM (2)
Ducktales 2			128k PRG / 0k CHR	V	UNROM (2)
Dudes With Attitudes		32k PRG / 32k CHR	V	AVE (79)
Dungeon and Magic		128k PRG / 128k CHR	V	MMC1 (1)
Dungeon Kid			128k PRG / 0k CHR	H	MMC1 (1)
Dungeon Magic			128k PRG / 128k CHR	V	MMC1 (1)
Dusty Diamond All-Star Softball 128k PRG / 128k CHR     H       MMC1 (1)
Dynablaster                     128k PRG / 0k CHR       H       MMC1 (1)
Dynamite Batman 2		128k PRG / 256k CHR	H	Sunsoft 5 (69)
Dynamite Batman 2 [Hacked]	128k PRG / 256k CHR	H	FFE F8xxx (17)
Dynamite Bowl			32k PRG / 32k CHR	V	CNROM (3)
Dynowarz			128k PRG / 128k CHR	H	MMC1 (1)


Earthbound			256k PRG / 256k CHR	V	MMC3 (4)
Eggerland			128k PRG / 32k CHR	V	MMC1 (1)
Egypt				32k PRG / 32k CHR	H	CNROM (3)
Elevator Action                 32k PRG / 8k CHR        H       ---- (0)
Eliminator Boat Duel		128k PRG / 128k CHR	V	MMC1 (1)
Elite				128k PRG / 0k CHR	H	MMC1 (1)
Elysion				128k PRG / 128k CHR	H	MMC1 (1)
Emo Yan no 10 Bai Pro Yakyuu	128k PRG / 128k CHR	V	MMC1 (1)
Empire Strikes Back, The	256k PRG / 256k CHR	H	MMC3 (4)
Erika to Satoru no Yume Bouken  128k PRG / 128k CHR     H       MMC3 (4)
Erunaaku no Zaihou		128k PRG / 0k CHR	V	UNROM (2)
Esupa Boukentai			256k PRG / 0k CHR	V	UNROM (2)
Excitebike			16k PRG / 8k CHR	V	---- (0)
Excitebike (PAL)		16k PRG / 8k CHR	V	---- (0)
Exciting Rally			128k PRG / 128k CHR	H	MMC1 (1)
Exed Exes                       32k PRG / 8k CHR        H       ---- (0)
Exerion				16k PRG / 8k CHR	H	---- (0)
Exodus				128k PRG / 128k CHR	V	Colour Dreams (11)


F1 Built to Win			128k PRG / 128k CHR	H	MMC1 (1)
F1 Circus			256k PRG / 128k CHR	H	MMC3 (4)
F1 Hero				128k PRG / 128k CHR	H	MMC3 (4)
F1 Hero 2			128k PRG / 128k CHR	H	MMC3 (4)
F1 Race				16k PRG / 8k CHR	V	---- (0)
F117A Stealth Fighter		256k PRG / 256k CHR	H	MMC3 (4)
F15 City War			32k PRG / 32k CHR	V	AVE (79)
Faibird				128k PRG / 128k CHR	V	MMC3 (4)
Famicom Jump			256k PRG / 128k CHR	H	Bandai (16)
Famicom Typing Tutor (Dr PC Jr) 32k PRG / 0k CHR        H       ---- (0)
Famicom Typing Tutor 2          32k PRG / 0k CHR        H       ---- (0)
Famicom Wars			128k PRG / 128k CHR	H	MMC4 (10)
Famicom Yakyuuban               128k PRG / 128k CHR     V       MMC1 (1)
Family BASIC                    32k PRG / 16k CHR       V       CNROM (3)
Family Block                    128k PRG / 32k CHR      H       74161/32 (66)
Family Boxing                   64k PRG / 64k CHR       V       MMC3 (4)
Family Circuit                  128k PRG / 32k CHR      V       MMC3 (4)
Family Circuit '91              512k PRG / 256k CHR     V       Namcot 106 (19)
Family Fued                     32k PRG / 128k CHR      H       MMC1 (1)
Family Jockey			32k PRG /  32k CHR	H	MMC3 (4)
Family Majyan                   128k PRG / 64k CHR      H       MMC3 (4)
Family Majyan 2                 128k PRG / 64k CHR      H       MMC3 (4)
Family Pinball			128k PRG / 64k CHR	H	MMC3 (4)
Family Quiz			128k PRG / 0k CHR	V	UNROM (2)
Family Stadium			64k PRG / 32k CHR	V	MMC3 (4)
Family Stadium '87		64k PRG / 32k CHR	V	MMC3 (4)
Family Stadium '88		128k PRG / 64k CHR	V	MMC3 (4)
Family Stadium '89		128k PRG / 64k CHR	V	MMC3 (4)
Family Stadium '90		128k PRG / 128k CHR	H	Namcot 106 (19)
Family Stadium '91		128k PRG / 128k CHR	V	MMC3 (4)
Family Stadium '92		128k PRG / 128k CHR	V	MMC3 (4)
Family Stadium '93		128k PRG / 128k CHR	V	MMC3 (4)
Family Stadium '94		128k PRG / 128k CHR	V	MMC3 (4)
Family Tennis			64k PRG / 64k CHR	V	MMC3 (4)
Family Trainer Running Stadium	32k PRG / 32k CHR	H	CNROM (3)
Fantastic Adventures of Dizzy, The [Aladdin vers.]	256k PRG / 0k CHR	V	Camerica (71)
Fantasy Zone (J)                128k PRG / 0k CHR       H       UNROM (2)
Faria				128k PRG / 128k CHR	H	MMC1 (1)
Faria (J)			128k PRG / 128k CHR	V	MMC1 (1)
Faxanadu                        256k PRG / 0k CHR       V       MMC1 (1)
Faxanadu (J)                    256k PRG / 0k CHR       H       UNROM (2)
FC Genjin			256k PRG / 128k CHR	H	MMC3 (4)
Felix the Cat                   128k PRG / 128k CHR     V       MMC3 (4)
Fester's Quest                  128k PRG / 128k CHR     H       MMC1 (1)
Field Combat                    16k PRG / 8k CHR        V       ---- (0)
Fighting Golf                   128k PRG / 128k CHR     H       MMC1 (1)
Final Fantasy                   256k PRG / 0k CHR       V       MMC1 (1)
Final Fantasy (J)               256k PRG / 0k CHR       V       UNROM (2)
Final Fantasy 2                 256k PRG / 0k CHR       V       UNROM (2)
Final Fantasy 3                 512k PRG / 0k CHR       V       MMC3 (4)
Final Fantasy I/II              256k PRG / 0k CHR       H       MMC1 (1) <--should be 512k
Final Lap                       128k PRG / 128k CHR     V       Namcot 106 (19)
Final Mission                   128k PRG / 128k CHR     H       MMC1 (1)
Fire Emblem                     256k PRG / 128k CHR     H       MMC2 (10)
Fire Emblem [hacked]            256k PRG / 128k CHR     V       MMC3 (4)
Fire Emblem Gaiden [hacked]     256k PRG / 128k CHR     H       MMC3 (4)
Firehawk                        128k PRG / 0k CHR       H       Camerica (71)
Fist of the North Star          128k PRG / 0k CHR       V       UNROM (2)
Flappy                          32k PRG / 8k CHR        V       ---- (0)
Fleet Commander                 32k PRG / 32k CHR       H       CNROM (3)
Flintstones, The                128k PRG / 256k CHR     H       MMC3 (3)
Flintstones, The (PAL)          128k PRG / 256k CHR     H       MMC3 (3)
Flipull                         32k PRG / 32k CHR       V       CNROM (3)
Flying Dragon                   128k PRG / 0k CHR       V       UNROM (2)
Flying Hero                     128k PRG / 0k CHR       V       UNROM (2)      
Flying Warriors                 128k PRG / 128k CHR     H       MMC1 (1)
Formation Z                     16k PRG / 8k CHR        H       ---- (0)
Foton                           128k PRG / 0k CHR       H       UNROM (2)
Four Card Games                 32k PRG / 8k CHR        V       ---- (0)
Frankenstein                    128k PRG / 128k CHR     V       MMC1 (1)
Freedom Force                   128k PRG / 128k CHR     H       MMC1 (1)
Friday The 13th                 32k PRG / 32k CHR       V       CNROM (3)
Front Line                      16k PRG / 8k CHR        H       ---- (0)
Fusigi no Umi no Nadia          128k PRG / 128k CHR     H       MMC3 (4)
Fuzzical Fighter                128k PRG / 128k CHR     V       MMC3 (4)


Galaga (J)                      16k PRG / 8k CHR        H       ---- (0)
Galaxian                        16k PRG / 8k CHR        H       ---- (0)
Galaxy 5000                     128k PRG / 128k CHR     V       MMC3 (4)
Galg                            32k PRG / 8k CHR        H       ---- (0)
Gambler Jikochusin Ha           256k PRG / 0k CHR       H       MMC1 (1)
Gambler Jikochusin Ha 2         256k PRG / 0k CHR       V       MMC1 (1)
Game Genie                      16k PRG / 8k CHR        H       ---- (0)
Ganbare Goemon [hacked]         256k PRG / 0k CHR       V       FFE F4xxx (6)
Ganbare Goemon 2 [hacked?]      128k PRG / 128k CHR     V       MMC3 (4)
Ganbare Goemon Gaiden           256k PRG / 256k CHR     V       VRC4 (25)
Ganbare Goemon Gaiden 2         256k PRG / 256k CHR     V       VRC4-2A (21)
Garfield                        128k PRG / 32k CHR      H       MMC1 (1)
Gargoyle's Quest 2              128k PRG / 128k CHR     H       MMC3 (4)
Garou Densetsu Special		256k PRG / 256k CHR	H	PC-Cony (83)
Garou Densetsu Special [hacked]	256k PRG / 256k CHR	H	MMC3 (4)
Gauntlet                        128k PRG / 64k CHR      V       MMC3 (4)
Gauntlet 2                      128k PRG / 128k CHR     H       MMC3 (4)
Gauntlet 2 (PAL)                128k PRG / 128k CHR     H       MMC3 (4)
Gaurdian Legend,  The           128k PRG / 0k CHR       V       UNROM (2)
Gaurdic Gaiden                  128k PRG / 0k CHR       V       UNROM (2)
Gegege no Kitarou               32k PRG / 32k CHR       V       CNROM (3)        
Gegege no Kitarou 2             128k PRG / 128k CHR     H       74161/32 (70)
Gegege no Kitarou 2 [Hacked]    256k PRG / 0k CHR       V       FFE F4xxx (6)
Gekikame Ninjaden               128k PRG / 128k CHR     H       MMC1 (1)
Gekitotu 4 Kubattle             128k PRG / 0k CHR       H       UNROM (2)
Gekitou Pro Wrestling           128k PRG / 128k CHR     V       MMC1 (1)
Gekitou Stadium			128k PRG / 128k CHR	V	MMC1 (1)
Geimos                          32k PRG / 8k CHR        H       ---- (0)      
Gemfire                         256k PRG / 256k CHR     H       MMC5 (5)
Genghis Khan                    256k PRG / 0k CHR       H       MMC1 (1)
Genghis Khan (J)                256k PRG / 0k CHR       V       MMC1 (1)        
Genpei Toumaden                 128k PRG / 64k CHR      H       MMC3 (4)
George Foreman's KO Boxing      128k PRG / 256k CHR     H       MMC3 (4)
Getsufuu Maden                  128k PRG / 128k CHR     H       VRC2b (23)                 
Ghostbusters                    32k PRG / 32k CHR       H       CNROM (3)
Ghostbusters (J)                32k PRG / 32k CHR       H       CNROM (3)
Ghostbusters 2                  128k PRG / 128k CHR     H       MMC1 (1)
Ghosts N' Goblins               128k PRG / 0k CHR       V       UNROM (2)
Ghoul School                    128k PRG / 128k CHR     V       MMC1 (1)
GI Joe                          128k PRG / 256k CHR     H       MMC3 (4)
GI Joe -  The Atlantis Factor   128k PRG / 256k CHR     H       MMC3 (4)
Gilligan's Island               128k PRG / 0k CHR       H       UNROM (2)
Gimmick!                        256k PRG / 128k CHR     V       Sunsoft 5 (69)
Ginga Eiyuu Densetsu            128k PRG / 128k CHR     V       MMC1 (1)
Ginga no Sannin                 128k PRG / 0k CHR       V       UNROM (2)
Goal                            256k PRG / 128k CHR     H       MMC1 (1)
God Slayer                      256k PRG / 128k CHR     H       MMC3 (4)
Godzilla                        128k PRG / 128k CHR     H       MMC1 (1)
Godzilla (J)                    128k PRG / 128k CHR     V       MMC1 (1)
Godzilla 2                      128k PRG / 128k CHR     H       MMC1 (1)
Gold Medal Challenge '92        128k PRG / 128k CHR     H       MMC3 (4)
Golf                            16k PRG / 8k CHR        V       ---- (0)
Golf '92, The                   128k PRG / 128k CHR     H       MMC1 (1)
Golf Grand Slam                 128k PRG / 128k CHR     H       MMC1 (1)
Golf Open                       128k PRG / 256k CHR     H       TC0190/TC0350 (33)
Golgo 13                        128k PRG / 128k CHR     H       MMC1 (1)
Golgo 13 (J)                    128k PRG / 128k CHR     H       MMC1 (1)
Golgo 13 - The Mafat Conspiracy 128k PRG / 128k CHR     H       MMC3 (4)
Golgo 13 - The Riddle of Icarus 128k PRG / 128k CHR     H       MMC3 (4)
Gomoku Narabe                   16k PRG / 8k CHR        V       ---- (0)
Goonies, The                    32k PRG / 16k CHR       V       CNROM (3)
Goonies 2, The                  128k PRG / 0k CHR       V       UNROM (2)
Goonies 2, The (J)              128k PRG / 0k CHR       V       UNROM (2)
Gorby no Pipeline Daisakusen    32k PRG / 32k CHR       H       CNROM (3)
Gotcha                          32k PRG / 32k CHR       V       CNROM (3)
Gozonji Yajikita Tindouchu      256k PRG / 128k CHR     H       MMC1 (1)
Gradius (J)                     32k PRG / 32k CHR       V       CNROM (3)
Gradius 2                       128k PRG / 128k CHR     V       VRC4 (25)
Grand Master                    256k PRG / 128k CHR     H       MMC1 (1)
Great Deal                      128k PRG / 0k CHR       V       MMC1 (1)
Great Tank                      128k PRG / 128k CHR     V       MMC1 (1)
Gremlins 2                      128k PRG / 256k CHR     H       MMC3 (4)
Guerilla War                    128k PRG / 128k CHR     H       MMC1 (1)
Gumshoe                         128k PRG / 32k CHR      H       74161/32 (66)
Gunhed                          128k PRG / 128k CHR     V       MMC1 (1)
Gunnac                          128k PRG / 128k CHR     V       MMC3 (4)
Gunnac (J)                      128k PRG / 128k CHR     V       MMC3 (4)
Gunsight                        128k PRG / 128k CHR     H       MMC5 (5)
Gunsmoke                        128k PRG / 0k CHR       H       UNROM (2)
Gunsmoke (PAL)                  128k PRG / 0k CHR       H       UNROM (2)
Gyrodine                        32k PRG / 8k CHR        V       ---- (0)
Gyruss                          32k PRG / 32k CHR       V       CNROM (3)


Haja no Fuuin                   128k PRG / 128k CHR     V       MMC1 (1)
Hana no Star Kaidou             128k PRG / 0k CHR       V       UNROM (2)
Hanjuku Hero                    128k PRG / 0k CHR       H       UNROM (2)
Harlem Globetrotters            128k PRG / 128k CHR     H       MMC1 (1)
Hatris                          128k PRG / 0k CHR       H       MMC1 (1)
Hatris (J)                      128k PRG / 0k CHR       V       UNROM (2)
Heavy Barrel                    128k PRG / 128k CHR     H       MMC3 (4)
Heavy Shreddin'                 128k PRG / 128k CHR     V       MMC1 (1)
Hebereke                        128k PRG / 128k CHR     V       Sunsoft 5 (69)
Hector '87                      128k PRG / 0k CHR       V       UNROM (2)
Hello Kitty no Ohana Batake     32k PRG / 32k CHR       V       CNROM (3)
Hello Kitty World               128k PRG / 0k CHR       V       UNROM (2)
Hercules no Eikou               128k PRG / 0k CHR       V       UNROM (2)
Hercules no Eikou 2             256k PRG / 0k CHR       V       MMC1 (1)
Heroes of the Lance             128k PRG / 128k CHR     H       MMC1 (1)
Heroes of the Lance (J)         128k PRG / 128k CHR     H       MMC1 (1)
Hi no Tori			128k PRG / 0k CHR	V	UNROM (2)
Higemaru Makaijima              128k PRG / 0k CHR       V       UNROM (2)
High Speed                      128k PRG / 64k CHR      H       TQROM (119)
High Speed (PAL)                128k PRG / 64k CHR      H       TQROM (119)
Highway Star                    128k PRG / 0k CHR       V       UNROM (2)
Hillsfar (J)                    256k PRG / 0k CHR       H       MMC1 (1)
Hirake Ponkikki                 32k PRG / 32k CHR       V       MMC1 (1)
Hiryuu no Ken                   128k PRG / 0k CHR       V       UNROM (2)
Hiryuu no Ken 2                 128k PRG / 128k CHR     H       MMC1 (1)
Hiryuu no Ken 3                 128k PRG / 128k CHR     V       MMC3 (4)
Hiryuu no Ken SP Fighting Wars  128k PRG / 128k CHR     V       MMC1 (1)
Hissatu Dojo Yaburi		256k PRG / 0k CHR	H	MMC1 (1)
Hissatu Sigotonin               256k PRG / 128k CHR     H       MMC3 (4)
Hittra no Fukkatu		256k PRG / 0k CHR	H	MMC1 (1)
Hogan's Alley                   16k PRG / 8k CHR        H       ---- (0)
Hokuto no Ken                   32k PRG / 32k CHR       V       CNROM (3)
Hokuto no Ken 2                 128k PRG / 0k CHR       V       UNROM (2)
Hokuto no Ken 3                 256k PRG / 0k CHR       H       MMC1 (1)
Hokuto no Ken 4                 256k PRG / 0k CHR       V       MMC1 (1)
Hollywood Squares               256k PRG / 0k CHR       H       AOROM (7)
Holy Diver                      128k PRG / 128k CHR     H       74161/32 (78)
Home Alone                      128k PRG / 104k CHR     H       MMC3 (4) <--Probably a bad dump.
Home Alone 2                    128k PRG / 128k CHR     H       MMC3 (4)
Home Run Nighter                128k PRG / 128k CHR     V       MMC1 (1)
Home Run Nighter '90            128k PRG / 128k CHR     V       MMC3 (4)
Hook                            128k PRG / 128k CHR     H       MMC1 (1)
Hook (J)                        128k PRG / 128k CHR     H       MMC1 (1)
Hoops                           128k PRG / 128k CHR     V       MMC1 (1)
Hosi no Kirby                   512k PRG / 256k CHR     H       MMC3 (4)
Hosi wo Miruhito                128k PRG / 0k CHR       V       UNROM (2)
Hostages                        128k PRG / 128k CHR     V       MMC1 (1)
Hot Slots                       32k PRG / 64k CHR       H       CNROM (3)
Hototogisu                      256k PRG / 0k CHR       V       MMC1 (1)
Hottaman no Titeitanken         32k PRG / 32k CHR       V       CNROM (3)
Houmaga Toki			128k PRG / 0k CHR	V	UNROM (2)
Hudson Hawk                     128k PRG / 128k CHR     V       MMC1 (1)
Hunt For Red October, The       128k PRG / 128k CHR     H       MMC3 (4)
Hyaku no Sekai no Monogatari    128k PRG / 128k CHR     V       MMC1 (1)
Hyauti Super Igo		32k PRG / 32k CHR	V	CNROM (3)
Hydlide                         32k PRG / 8k CHR        H       ---- (0)
Hydlide (J)                     32k PRG / 8k CHR        H       ---- (0)
Hydlide 3                       256k PRG / 128k CHR     H       Namcot 106 (19)
Hyokkori Hyoutan Jima           128k PRG / 128k CHR     H       MMC1 (1)
Hyper Olympic                   16k PRG / 8k CHR        V       ---- (0)
Hyper Olympic - Tonosoma Edition32k PRG / 8k CHR        V       ---- (0)
Hyper Sports                    16k PRG / 8k CHR        V       ---- (0)


I Love Softball                 128k PRG / 128k CHR     V       MMC1 (1)
Ice Climber                     16k PRG / 8k CHR        H       ---- (0)
Ice Climber (disk conversion)   32k PRG / 0k CHR        H       ---- (0) - (uses .sav file to load)
Ice Hockey                      32k PRG / 8k CHR        V       ---- (0)
Ice Hockey (disk coversion)     32k PRG / 8k CHR        V       ---- (0) - (uses .sav file to load)
Idol Hakkenden                  128k PRG / 128k CHR     H       MMC1 (1)
Idol Shisen Mahjongg            32k PRG / 64k CHR       V       CNROM (3)
Igo Sinan                       32k PRG / 8k CHR        H       ---- (0)
Igo Sinan '91                   128k PRG / 32k CHR      H       MMC1 (1)
Igo Sinan '93                   128k PRG / 32k CHR      H       MMC1 (1)
Ikari Warriors                  128k PRG / 0k CHR       H       UNROM (2)
Ikari Warriors (J)              128k PRG / 0k CHR       H       UNROM (2)
Ikari Warriors 2                256k PRG / 0k CHR       V       MMC1 (1)
Ikari Warriors 2 (J)            256k PRG / 0k CHR       H       UNROM (2)
Ikari Warriors 3                128k PRG / 128k CHR     H       MMC1 (1)
Ikari Warriors 3 (J)            128k PRG / 128k CHR     H       MMC1 (1)
Ike Ike Nekketsu Hockey         128k PRG / 128k CHR     H       MMC3 (4)
Ikinari Musician                32k PRG / 16k CHR       V       CNROM (3)
Ikki                            16k PRG / 8k CHR        V       ---- (0)
Image Fight                     128k PRG / 128k CHR     H       MMC3 (4)
Image Fight (J)                 128k PRG / 128k CHR     H       Irem G101 (32)
Immortal, The                   128k PRG / 256k CHR     H       MMC3 (4)
Impossible Mission 2            64k PRG / 64k CHR       H       Nina-1 (34)
Incredible Crash Dummies, The	128k PRG / 256k CHR	H	MMC3 (4)
Indiana Jones / Last Crusade    256k PRG / 0k CHR       V       MMC1 (1)
Indiana Jones / Temple of Doom  128k PRG / 128k CHR     V       MMC3 (4)
Indra no Hikari                 128k PRG / 0k CHR       H       UNROM (2)
Infiltrator                     128k PRG / 128k CHR     H       MMC3 (4)
Insector X                      128k PRG / 128k CHR     V       TC0190/TC0350 (33)
International Cricket           128k PRG / 128k CHR     H       MMC1 (1)
Iron Tank                       128k PRG / 128k CHR     H       MMC1 (1)
Isolated Warrior                128k PRG / 128k CHR     H       MMC3 (4)
Itadaki Street                  128k PRG / 128k CHR     H       MMC1 (1)


J League - King of Ace Strikers 128k PRG / 128k CHR     H       MMC3 (4)
Jack Nicklaus Golf              128k PRG / 0k CHR       V       UNROM (2)
Jackal                          128k PRG / 0k CHR       V       UNROM (2)
Jackie Chan                     128k PRG / 128k CHR     V       MMC3 (4)
Jackie Chan's Action Kung-Fu    128k PRG / 128k CHR     H       MMC3 (4)
Jajamaru no Daibouken           32k PRG / 32k CHR       V       CNROM (3)
Jajamaru no Gekimaden           128k PRG / 128k CHR     H       SS8806 (18)
Jajamaru no Ginga Daisakusen    128k PRG / 128k CHR     H       SS8806 (18)
James Bond Jr.                  128k PRG / 128k CHR     H       MMC3 (4)        
James Bond Jr. (PAL)            128k PRG / 128k CHR     H       MMC3 (4)
Jarinko Chie                    128k PRG / 256k CHR     H       VRC2b (23)
Jarvas                          128k PRG / 128k CHR     V       MMC3 (4)
Jaws                            32k PRG / 32k CHR       H       CNROM (3)
Jeopardy                        128k PRG / 0k CHR       V       AOROM (7)
Jeopardy 25th Anniversary Ed.   128k PRG / 0k CHR       H       AOROM (7)
Jeopardy Jr.                    128k PRG / 0k CHR       H       AOROM (7)
Jesus                           256k PRG / 0k CHR       V       UNROM (2)
Jetsons, The                    128k PRG / 256k CHR     H       MMC3 (4)
Jewelry                         16k PRG / 8k CHR        V       ---- (0)
Jikuuyuuden Debias		128k PRG / 64k CHR	V	MMC3 (4)
Jimmy Connors Tennis            128k PRG / 0k CHR       V       UNROM (2)
Jimmy Connors Tennis (PAL)      128k PRG / 0k CHR       V       UNROM (2)
Joe and Mac                     128k PRG / 128k CHR     H       MMC3 (4)
John Elway's Quarterback        32k PRG / 32k CHR       V       CNROM (3)        
Jongbou                         128k PRG / 0k CHR       V       UNROM (2)
Jordan vs Bird                  128k PRG / 0k CHR       V       UNROM (2)
Journey to Silius               128k PRG / 128k CHR     H       MMC1 (1)
Joust                           16k PRG / 8k CHR        V       ---- (0)
Jovei Quest                     256k PRG / 256k CHR     H       Namcot 106 (19)
Joy Mecha Fight                 256k PRG / 256k CHR     V       MMC3 (4)
Jumpin' Kid                     128k PRG / 128k CHR     H       MMC3 (4)
Jungle Book, The                128k PRG / 128k CHR     H       MMC3 (4)
Jurassic Park                   128k PRG / 128k CHR     H       MMC3 (4)
Just Breed                      512k PRG / 256k CHR     V       MMC5 (5)
Jyanbou Ozaki no Hole-in-One    128k PRG / 32k CHR      V       MMC1 (1)


Kabuki Quantum Fighter          128k PRG / 128k CHR     V       MMC3 (4)
Kabusiki Doujyou                256k PRG / 0k CHR       V       MMC1 (1)
Kage                            128k PRG / 128k CHR     H       MMC3 (4)
Kagerou Densetsu                128k PRG / 128k CHR     V       MMC3 (4)
Kaguya Hime Densetsu            256k PRG / 0k CHR       H       UNROM (2)
Kaijyu Monogatari [hacked]      128k PRG / 128k CHR     H       MMC3 (4)               
Kaiketsu Yanchamaru Karakuri Land 2 [hacked]    128k PRG / 128k CHR     V       FFE F8xxx (17)
Kaiketsu Yanchamaru Karakuri Land 3     128k PRG / 128k CHR     H       Irem H3001 (65)      
Kakefu-kun no Jump Tengoku      128k PRG / 0k CHR       V       UNROM (2)
Kame no Ongaesi                 128k PRG / 128k CHR     H       MMC1 (1)
Kamen no Ninja Akakage          128k PRG / 0k CHR       V       UNROM (2)
Kamen no Ninja Hanamaru         128k PRG / 128k CHR     H       MMC1 (1)
Kamen Rider Club                128k PRG / 128k CHR     H       74161/32 (70)
Kamen Rider SD                  128k PRG / 128k CHR     V       MMC3 (4)
Karate Champ                    32k PRG / 32k CHR       H       CNROM (3)
Karate Kid, The                 32k PRG / 32k CHR       V       CNROM (3)
Karateka                        16k PRG / 8k CHR        V       ---- (0)
Karnov                          128k PRG / 128k CHR     H       MMC3 (4)
Karnov (J)                      128k PRG / 64k CHR      H       MMC3 (4)
Kart Fighter                    128k PRG / 256k CHR     H       MMC3 (4)
Katteni Sirokuma                128k PRG / 128k CHR     H       MMC1 (1)
Kawa no Nushi Tsuri             128k PRG / 128k CHR     H       MMC3 (4)
Keiba Honmei                    128k PRG / 128k CHR     H       MMC3 (4)
Keisan Game Sansuu 2            32k PRG / 32k CHR       V       CNROM (3)
Keisan Game Sansuu 3            32k PRG / 16k CHR       V       CNROM (3)
Keisan Game Sansuu 4            32k PRG / 32k CHR       V       CNROM (3)
Keisan Game Sansuu 5/6 Nen      32k PRG / 32k CHR       V       CNROM (3)
Kero Kero Keroppi               32k PRG / 32k CHR       H       CNROM (3)
Kero Kero Keroppi 2             128k PRG / 128k CHR     H       MMC1 (1)
Keru Naguru                     128k PRG / 128k CHR     V       MMC3 (4)
Kick Master                     128k PRG / 128k CHR     H       MMC3 (4)
Kick Off                        128k PRG / 0k CHR       V       UNROM (2)
Kickle Cubicle                  128k PRG / 128k CHR     H       MMC3 (4)
Kid Icarus                      128k PRG / 0k CHR       V       MMC1 (1)
Kid Klown                       128k PRG / 128k CHR     H       MMC3 (4)
Kid Kool                        128k PRG / 0k CHR       V       UNROM (2)
Kid Niki                        256k PRG / 0k CHR       H       MMC1 (1)        
King Kong 2                     128k PRG / 128k CHR     V       MMC3 (4)
King of Kings                   128k PRG / 128k CHR     V       Colour Dreams (11)
King of Kings (J - diff. game)  128k PRG / 128k CHR     H       MMC3 (4)
King's Knight                   32k PRG / 32k CHR       H       CNROM (3)
King's Knight (J)               32k PRG / 32k CHR       H       CNROM (3)
King's Quest 5                  256k PRG / 256k CHR     V       MMC3 (4)
Kings of the Beach              32k PRG / 32k CHR       H       CNROM (3)
Kinniku Man                     16k PRG / 8k CHR        V       ---- (0)
Kirby's Adventure               512k PRG / 256k CHR     H       MMC3 (4)
Kiri no London Satsujin Jiken   256k PRG / 0k CHR       H       MMC1 (1)
Kiteretsu Daihyakka             128k PRG / 128k CHR     H       MMC1 (1)
Kiwi Kraze                      128k PRG / 128k CHR     H       MMC3 (4)
Klash Ball                      128k PRG / 0k CHR       H       UNROM (2)
Klax                            64k PRG / 64k CHR       H       Rambo-1 (64)
Klax (J)                        128K PRG / 64k CHR      H       MMC3 (4)
Knight Rider                    64k PRG / 128k CHR      H       MMC1 (1)
Konami Sport in Soul            128k PRG / 128k CHR     V       MMC3 (4)
Koushien                        128k PRG / 128k CHR     V       MMC1 (1)
Krazy Kreatures                 32k PRG / 32k CHR       V       AVE (79)
Krion Conquest, The             128k PRG / 128k CHR     H       MMC3 (4)
Krusty's Fun House              256k PRG / 128k CHR     H       MMC3 (4)        
Krusty's Fun House (PAL)        256k PRG / 128k CHR     H       MMC3 (4)
Kuja Kuou                       256k PRG / 0k CHR       V       MMC1 (1)
Kuja Kuou 2                     128k PRG / 128k CHR     H       MMC1 (1)
Kung-Fu                         32k PRG / 8k CHR        V       ---- (0)
Kung-Fu Heroes                  32k PRG / 32k CHR       H       CNROM (3)
Kureyon Shinchan                128k PRG / 128k CHR     H       Bandai (16)
Kurogane Hirosi no Keiba Densetu128k PRG / 128k CHR     H       MMC3 (4)
